scode	s_count	school_name	school_lat	school_long	cscode	center_name	center_address	center_capacity	distance_km
27042	550	नेपाल काण्ठमण्डप मा.वि., कलंकी	27.6982576253	85.2807963512	27043	JANAMAITRI MULTIPLE CAMPUS	KULESHWAR	397	1.3360073132404304
27057	950	नोवेल एकाडेमी मा.वि., नयाँवानेश्वर	27.6913592848	85.3318487462	27126	KNOWLEDGE AND WISDOM ACADEMY SECONDARY SCHOOL	NAYA BANESHWAR	392	0.3427606076657611
27057	950	नोवेल एकाडेमी मा.वि., नयाँवानेश्वर	27.6913592848	85.3318487462	27117	NEPAL MEGHA COLLEGE	BABARMAHAL	509	0.385098162747161
27057	950	नोवेल एकाडेमी मा.वि., नयाँवानेश्वर	27.6913592848	85.3318487462	27083	COLUMBUS SECONDARY SCHOOL	SHANKHAMUL	300	0.5520477714274894
27057	950	नोवेल एकाडेमी मा.वि., नयाँवानेश्वर	27.6913592848	85.3318487462	27119	PREMIER SECONDARY SCHOOL	NAYABANESHWAR	390	0.6882396714237206
27057	950	नोवेल एकाडेमी मा.वि., नयाँवानेश्वर	27.6913592848	85.3318487462	27081	SWAPNA BATIKA ACADEMY	BUDDHANAGAR	500	0.8479872136132628
27057	950	नोवेल एकाडेमी मा.वि., नयाँवानेश्वर	27.6913592848	85.3318487462	27172	LIVERPOOL SECONDARY SCHOOL	BANESHWAR	500	1.001303674212099
27057	950	नोवेल एकाडेमी मा.वि., नयाँवानेश्वर	27.6913592848	85.3318487462	27049	AMBITION ACADEMY	BANESHWAR	527	0.6106770732940184
27057	950	नोवेल एकाडेमी मा.वि., नयाँवानेश्वर	27.6913592848	85.3318487462	27159	BIJAY SMARAK MA VI	DILLIBAZAR	275	1.608476000234199
27057	950	नोवेल एकाडेमी मा.वि., नयाँवानेश्वर	27.6913592848	85.3318487462	27137	MADAN BHANDARI SMIRITI SECONDARY SCHOOL	NAYA BANESHWAR	363	0.5157241393613532
27057	950	नोवेल एकाडेमी मा.वि., नयाँवानेश्वर	27.6913592848	85.3318487462	27188	RATNA RAJYA SECONDARY SCHOOL	BANESHWAR	500	0.7426837154809822
27057	950	नोवेल एकाडेमी मा.वि., नयाँवानेश्वर	27.6913592848	85.3318487462	27063	HIMALAYA WHITE HOUSE INTERNATIONAL SECONDARY SCHOOL	TINKUNA	585	1.7254609484770267
27057	950	नोवेल एकाडेमी मा.वि., नयाँवानेश्वर	27.6913592848	85.3318487462	27118	TRITON INTERNATIONAL SECONDARY SCHOOL	SUBDHANAGAR TINKUNE	407	1.5298916258101432
27057	950	नोवेल एकाडेमी मा.वि., नयाँवानेश्वर	27.6913592848	85.3318487462	27029	GOLDENGATE INTERNATIONAL SECONDARY SCHOOL	BATTISPUTALI	500	1.6199140261610308
27057	950	नोवेल एकाडेमी मा.वि., नयाँवानेश्वर	27.6913592848	85.3318487462	27072	BANESHWAR CAMPUS	SHANTINAGAR	559	1.57893094949147
27057	950	नोवेल एकाडेमी मा.वि., नयाँवानेश्वर	27.6913592848	85.3318487462	27064	HIMALAYA ENGLISH BOARDING SECONDARY SCHOOL	KOTESHWOR	412	1.9383467122615774
27057	950	नोवेल एकाडेमी मा.वि., नयाँवानेश्वर	27.6913592848	85.3318487462	27187	GRAMMER PUBLIC SECONDARY SCHOOL	KOTESHWOR	504	1.6999227030029993
27057	950	नोवेल एकाडेमी मा.वि., नयाँवानेश्वर	27.6913592848	85.3318487462	27007	TRINITY INTERNATIONAL SECONDARY SCHOOL	DILLIBAZAR	503	1.5536038379454282
27057	950	नोवेल एकाडेमी मा.वि., नयाँवानेश्वर	27.6913592848	85.3318487462	27192	PADMAKANYA BIDYASHRAM SECONDARY SCHOOL	DILLIBAZAR	550	1.6595806720492523
27057	950	नोवेल एकाडेमी मा.वि., नयाँवानेश्वर	27.6913592848	85.3318487462	27133	GLOBAL COLLEGE OF MANAGEMENT	BANESHWAR	557	1.2991335738261247
27057	950	नोवेल एकाडेमी मा.वि., नयाँवानेश्वर	27.6913592848	85.3318487462	27174	PADMODAYA SECONDARY SCHOOL	RAMSHAPATH	441	1.5243491535649445
27057	950	नोवेल एकाडेमी मा.वि., नयाँवानेश्वर	27.6913592848	85.3318487462	27257	GLACIER INTERNATIONAL SECONDARY SCHOOL	SHANTINAGAR	342	1.164597787598175
27057	950	नोवेल एकाडेमी मा.वि., नयाँवानेश्वर	27.6913592848	85.3318487462	27017	BINAYAK SUDHA NIKETAN SECONDARY SCHOOL	BANESHWAR	500	1.2601094354583184
27057	950	नोवेल एकाडेमी मा.वि., नयाँवानेश्वर	27.6913592848	85.3318487462	27425	KOTESHWOR SARASWATI SECONDARY SCHOOL	KOTESHWOR	384	1.5032586785011552
27057	950	नोवेल एकाडेमी मा.वि., नयाँवानेश्वर	27.6913592848	85.3318487462	27136	EVEREST CAMPUS	THAPATHALI	509	1.4056454280118618
27057	950	नोवेल एकाडेमी मा.वि., नयाँवानेश्वर	27.6913592848	85.3318487462	27011	VISHWO NIKETAN SECONDARY SCHOOL	TRIPURESHWAR	482	1.9394793873158005
27057	950	नोवेल एकाडेमी मा.वि., नयाँवानेश्वर	27.6913592848	85.3318487462	27076	NASA INTERNATIONAL SECONDARY SCHOOL	GAIRIGAUN	304	1.8700035453145445
27063	809	हिमालयन ह्वाइट हाउस इन्टरनेशनल मा.वि., नयाँ वानेश्वर	27.6842548831	85.3474283227	27017	BINAYAK SUDHA NIKETAN SECONDARY SCHOOL	BANESHWAR	500	0.4671660125808557
27063	809	हिमालयन ह्वाइट हाउस इन्टरनेशनल मा.वि., नयाँ वानेश्वर	27.6842548831	85.3474283227	27263	COLLEGE OF NATIONAL ACADEMIC SQUARE	KOTESHWOR	408	0.5677008904358555
27063	809	हिमालयन ह्वाइट हाउस इन्टरनेशनल मा.वि., नयाँ वानेश्वर	27.6842548831	85.3474283227	27118	TRITON INTERNATIONAL SECONDARY SCHOOL	SUBDHANAGAR TINKUNE	407	0.36953738462771324
27063	809	हिमालयन ह्वाइट हाउस इन्टरनेशनल मा.वि., नयाँ वानेश्वर	27.6842548831	85.3474283227	27064	HIMALAYA ENGLISH BOARDING SECONDARY SCHOOL	KOTESHWOR	412	0.45960212725593425
27063	809	हिमालयन ह्वाइट हाउस इन्टरनेशनल मा.वि., नयाँ वानेश्वर	27.6842548831	85.3474283227	27257	GLACIER INTERNATIONAL SECONDARY SCHOOL	SHANTINAGAR	342	0.5868428709468924
27063	809	हिमालयन ह्वाइट हाउस इन्टरनेशनल मा.वि., नयाँ वानेश्वर	27.6842548831	85.3474283227	27127	CAPITAL SECONDARY SCHOOL	KOTESHWOR	446	1.216962953665026
27063	809	हिमालयन ह्वाइट हाउस इन्टरनेशनल मा.वि., नयाँ वानेश्वर	27.6842548831	85.3474283227	27076	NASA INTERNATIONAL SECONDARY SCHOOL	GAIRIGAUN	304	0.5152238553802406
27063	809	हिमालयन ह्वाइट हाउस इन्टरनेशनल मा.वि., नयाँ वानेश्वर	27.6842548831	85.3474283227	27425	KOTESHWOR SARASWATI SECONDARY SCHOOL	KOTESHWOR	384	0.72722759071557
