scode	school	cscode	center	center_address	allocation	distance_km
27086	मनमोहन मेमोरियल मा.वि., नयाँवजार	27134	PRIME INTERNATIONAL SECONDARY SCHOOL	NAYABAZAR	27	0.6542020068581731
27086	मनमोहन मेमोरियल मा.वि., नयाँवजार	27018	WHITE FIELD SECONDARY SCHOOL	KHUSIBU	100	0.6402175837459564
27086	मनमोहन मेमोरियल मा.वि., नयाँवजार	27107	GITAMATA SECONDARY SCHOOL	BAJESHWARI	100	1.527685021267496
27086	मनमोहन मेमोरियल मा.वि., नयाँवजार	27038	BHANUBHAKTA MEMORIAL SECONDARY SCHOOL	PANIPOKHARI	100	1.7916772853948684
27086	मनमोहन मेमोरियल मा.वि., नयाँवजार	27092	PAROPAKAR ADARSHA SECONDARY SCHOOL	BHIMSENSTHAN	1	1.9528432206651671
27211	वौडेश्वर मा.वि. झोर महाँकाल	27186	KALIDEVI SECONDARY SCHOOL	KAVRESTHALI	29	1.8536778983533373
27411	देश तिलक मा.वि., सिनामंगल	27022	PASHUPATI MULTIPLE CAMPUS	SUKEDHARA	1	1.1405099653060766
27338	मंगलोदय मा.वि , थानकोट	27432	PRABHAT SECONDARY SCHOOL	THANKOT	65	0.6898896975157554
27365	लिवर्टी एकेडेमी गोकर्णेश्वर	27321	WITS ACADEMY	BHUWALDANDA	36	1.2874645768612487
27377	अमर इङ्गलिस सेकेण्डरी स्कुल टोखा	27146	SARASWATI SECONDARY SCHOOL	TOKHA	1	0.4768364427302854
27284	फुटुङ्ग मा.वि,जयन्तीपुर	27146	SARASWATI SECONDARY SCHOOL	TOKHA	100	1.9226440097520798
27433	महर्षी मा.वि, सामाखुसी	27279	MAHENDRA RASTRIYA SECONDARY SCHOOL	BALUWATAR	100	1.9447279037566538
27433	महर्षी मा.वि, सामाखुसी	27018	WHITE FIELD SECONDARY SCHOOL	KHUSIBU	18	1.7778825416815636
27433	महर्षी मा.वि, सामाखुसी	27003	NATIONAL SCHOOL OF SCIENCES SECONDARY SCHOOL	LAINCHAUR	52	1.246706189545106
27301	अमर ज्योति मा.वि ,स्युचाटार, रोका	27058	EVEREST MA VI	SOLTEEMOD	25	1.855248131738843
