scode	school	cscode	center	center_address	allocation	distance_km
27302	विजेश्वरी ज्ञानमन्दिर सैनिक महाविद्यालय, विजेश्वरी	27362	KULESHWAR AWSIYA SECONDARY SCHOOL	KULESHWAR	70	2.431122269897435
27034	जेभियर्स एकाडेमी मा.वि., लाजिम्पाट	27097	BRILLENT EDUCATION SECONDARY SCHOOL	CHABAHIL	10	2.070961154232518
27034	जेभियर्स एकाडेमी मा.वि., लाजिम्पाट	27321	WITS ACADEMY	BHUWALDANDA	154	4.997065310829117
27006	होली भिजन मा.वि., ताहाचल	27125	LABORATRY SECONDARY SCHOOL	KRITIPUR	70	2.7383393255335915
27467	भिमेश्वर एकेडेमी, कागेश्वरी मनोहरा, काठमाडौं	27230	GANDHI ADARSHA SECONDARY SCHOOL	MANOHAR	1	0.21421883061845762
27372	सिर्जना ज्ञानसागर स्कुल गोलढुँगा	27242	MAN SINGH DHARMA SECONDARY SCHOOL	MANAMAIJU	8	1.169986693777603
27355	मिनिल्याण्ड इङ्गलिस स्कुल थली	27156	RELIANCE INTERNATIONAL SCHOOL	KAPAN	48	4.786876002141109
27147	तिलिङ्गटार मा.वि, धापासी	27265	MORGAN INTERNATIONAL SCHOOL	BASUNDHARA	120	1.2159054601677224
27147	तिलिङ्गटार मा.वि, धापासी	27010	CHIRAN MILAN BISHWASHANTI CAMPUS	BASBARI	45	1.5524030176040997
27179	कोटेश्वर बहुमुखी क्याम्पस, कोटेश्वर	27345	JUGAL ENGLISH MEDIUM SCHOOL	KAPAN	125	6.3027267678249
27179	कोटेश्वर बहुमुखी क्याम्पस, कोटेश्वर	27479	LIMPIYA NATIONAL SCHOOL	GOKARNESHWAR	199	4.862511659783065
27138	शहीद स्मारक कलेज, नयाँवजार, कीर्तिपुर	27125	LABORATRY SECONDARY SCHOOL	KRITIPUR	270	1.3200320720424241
27138	शहीद स्मारक कलेज, नयाँवजार, कीर्तिपुर	27197	JANA SEWA SECONDARY SCHOOL	KRITIPUR	100	1.2569268269520957
27138	शहीद स्मारक कलेज, नयाँवजार, कीर्तिपुर	27067	LRI SECONDARY SCHOOL	KALANKISTHAN	16	1.7843113609222334
27428	नेपाल संगित विद्यालय, पिंगलास्थान	27230	GANDHI ADARSHA SECONDARY SCHOOL	MANOHAR	19	2.2338159279183416
27092	परोपकार आदर्श मा.वि., भिमसेनस्थान	27113	KATHMANDU BERNHEART SECONDARY SCHOOL	BALKHU	11	1.9832495016689013
27092	परोपकार आदर्श मा.वि., भिमसेनस्थान	27238	PUSPA MEMORIAL CAMPUS	CHABAHIL	10	4.514507684518824
27092	परोपकार आदर्श मा.वि., भिमसेनस्थान	27197	JANA SEWA SECONDARY SCHOOL	KRITIPUR	90	4.66572360158393
27140	ओरियण्ट स्कूल अफ साइन्स एण्ड मेनेजमेन्ट मा.वि.,नारायणगोपालचोक	27045	SOUTH WESTERN ACADEMY SECONDARY SCHOOL	BASUNDHARA	96	0.36184121279264325
27140	ओरियण्ट स्कूल अफ साइन्स एण्ड मेनेजमेन्ट मा.वि.,नारायणगोपालचोक	27265	MORGAN INTERNATIONAL SCHOOL	BASUNDHARA	49	1.810809923765455
27140	ओरियण्ट स्कूल अफ साइन्स एण्ड मेनेजमेन्ट मा.वि.,नारायणगोपालचोक	27479	LIMPIYA NATIONAL SCHOOL	GOKARNESHWAR	110	4.898363153669976
27140	ओरियण्ट स्कूल अफ साइन्स एण्ड मेनेजमेन्ट मा.वि.,नारायणगोपालचोक	27146	SARASWATI SECONDARY SCHOOL	TOKHA	5	2.8589140584162136
27025	वागमती बोर्डिङ मा.वि., सुकेधारा	27156	RELIANCE INTERNATIONAL SCHOOL	KAPAN	187	0.8181092311297247
27075	सिग्मा मा.वि., सोह्रखुट्टे	27236	BROOKLIN ACADEMY SECONDARY SCHOOL	SUKEDHARA	146	3.9438095515797977
27075	सिग्मा मा.वि., सोह्रखुट्टे	27197	JANA SEWA SECONDARY SCHOOL	KRITIPUR	28	6.4787091295814685
27075	सिग्मा मा.वि., सोह्रखुट्टे	27201	GANESH SECONDARY SCHOOL	CHAPALI	100	6.401524797463795
27337	नेपाल युवक मा.वि , पकनाजोल	27230	GANDHI ADARSHA SECONDARY SCHOOL	MANOHAR	41	6.3839938871506
27268	समता शि. निकेतन जोरपाटी	27321	WITS ACADEMY	BHUWALDANDA	88	1.3788336732231647
27268	समता शि. निकेतन जोरपाटी	27156	RELIANCE INTERNATIONAL SCHOOL	KAPAN	100	1.3270685957327009
27268	समता शि. निकेतन जोरपाटी	27230	GANDHI ADARSHA SECONDARY SCHOOL	MANOHAR	53	2.6999700729696645
27111	काठमाण्डौ भ्याली मा.वि., महाराजगञ्ज	27156	RELIANCE INTERNATIONAL SCHOOL	KAPAN	1	1.6022021458984137
27215	पृथ्वी नारायण मा.वि., गोलढुङ्गा	27186	KALIDEVI SECONDARY SCHOOL	KAVRESTHALI	99	3.9572708120926157
27328	न्यू जेनिथ ईङ्गलिस मोडेल मा.वि., भुरुङखेल	27362	KULESHWAR AWSIYA SECONDARY SCHOOL	KULESHWAR	15	2.449865889672436
27328	न्यू जेनिथ ईङ्गलिस मोडेल मा.वि., भुरुङखेल	27067	LRI SECONDARY SCHOOL	KALANKISTHAN	10	3.4475461109640317
27328	न्यू जेनिथ ईङ्गलिस मोडेल मा.वि., भुरुङखेल	27169	GUASHEWARI SECONDARY SCHOOL	SINAMANGAL	8	5.062319872298709
27018	ह्वाइटफिल्ड मा.वि., क्षेत्रपाटी	27125	LABORATRY SECONDARY SCHOOL	KRITIPUR	40	4.365309253171384
27018	ह्वाइटफिल्ड मा.वि., क्षेत्रपाटी	27230	GANDHI ADARSHA SECONDARY SCHOOL	MANOHAR	47	6.9274878235430855
27026	काठमाडौं शिक्षा क्याम्पस, तीनथाना	27432	PRABHAT SECONDARY SCHOOL	THANKOT	101	3.2642408393434716
